id_pedido,id_cliente,data_pedido,status_pedido
114,31,2023-04-03,Em processamento
115,78,2024-12-22,Entregue
116,56,2023-12-02,Em processamento
117,64,2023-12-31,Entregue
118,174,2023-11-03,Entregue
119,8,2023-09-13,Entregue
120,36,2023-05-05,Cancelado
121,57,2023-05-14,Entregue
122,96,2024-12-03,Em processamento
123,22,2023-03-18,Entregue
124,51,2024-10-23,Entregue
125,24,2023-12-06,Entregue
126,13,2023-06-26,Entregue
127,71,2023-10-14,Entregue
128,9,2024-05-25,Enviado
129,123,2023-03-04,Entregue
130,36,2024-03-05,Entregue
131,64,2024-05-11,Enviado
132,129,2023-11-26,Entregue
133,7,2023-11-23,Entregue
134,72,2023-06-13,Em processamento
135,62,2024-02-02,Entregue
136,46,2024-12-15,Enviado
137,8,2024-12-21,Enviado
138,145,2023-05-26,Entregue
139,127,2024-07-09,Entregue
140,10,2023-04-03,Enviado
141,57,2023-01-01,Enviado
142,52,2023-05-14,Entregue
143,83,2023-03-02,Enviado
144,181,2023-03-16,Em processamento
145,102,2024-08-23,Entregue
146,83,2024-09-20,Entregue
147,58,2024-11-12,Entregue
148,97,2023-11-11,Entregue
149,33,2024-08-04,Enviado
150,82,2024-09-18,Enviado
151,27,2024-05-23,Cancelado
152,20,2023-09-01,Entregue
153,43,2024-11-17,Entregue
154,115,2023-01-12,Entregue
155,178,2023-03-11,Entregue
156,185,2023-01-02,Entregue
157,108,2023-12-26,Entregue
158,123,2024-12-04,Entregue
159,19,2023-02-04,Entregue
160,67,2023-04-18,Entregue
161,97,2023-04-06,Enviado
162,124,2024-12-22,Em processamento
163,43,2023-06-10,Entregue
164,53,2023-07-14,Enviado
165,185,2024-07-07,Entregue
166,77,2023-09-01,Entregue
167,147,2023-06-07,Entregue
168,110,2023-03-31,Em processamento
169,161,2023-04-10,Entregue
170,164,2023-11-12,Entregue
171,126,2024-11-07,Em processamento
172,140,2024-02-01,Entregue
173,95,2023-07-11,Entregue
174,113,2024-04-21,Entregue
175,145,2023-03-05,Em processamento
176,171,2023-04-10,Entregue
177,139,2024-08-26,Entregue
178,100,2024-06-19,Entregue
179,176,2024-05-01,Entregue
180,122,2023-11-03,Em processamento
181,9,2024-05-29,Entregue
182,147,2024-11-24,Entregue
183,31,2024-04-04,Entregue
184,55,2023-07-17,Entregue
185,21,2024-11-30,Enviado
186,38,2024-09-01,Cancelado
187,18,2023-03-31,Entregue
188,142,2023-11-30,Entregue
189,118,2024-03-05,Entregue
190,38,2023-09-28,Entregue
191,168,2024-05-12,Entregue
192,10,2023-06-26,Entregue
193,159,2024-02-16,Entregue
194,177,2023-09-01,Entregue
195,69,2024-01-17,Entregue
196,80,2024-12-13,Entregue
197,35,2023-11-04,Entregue
198,83,2023-07-12,Entregue
199,125,2023-06-12,Em processamento
200,130,2024-02-18,Entregue
201,146,2023-01-30,Entregue
202,15,2023-09-13,Entregue
203,93,2024-12-22,Entregue
204,119,2024-06-01,Entregue
205,175,2023-02-01,Entregue
206,153,2024-04-01,Entregue
207,151,2024-07-18,Entregue
208,67,2024-12-06,Entregue
209,99,2023-02-20,Enviado
210,55,2024-11-24,Em processamento
211,105,2024-06-09,Cancelado
212,175,2023-08-18,Entregue
213,183,2024-12-27,Entregue
214,97,2023-12-24,Entregue
215,120,2023-11-06,Enviado
216,102,2024-08-21,Entregue
217,170,2023-11-02,Entregue
218,17,2024-10-17,Entregue
219,67,2024-11-02,Em processamento
220,77,2023-07-12,Cancelado
221,62,2024-09-06,Entregue
222,175,2024-11-02,Entregue
223,67,2024-03-04,Cancelado
224,10,2023-12-18,Entregue
225,176,2024-11-18,Entregue
226,44,2024-11-04,Entregue
227,76,2023-12-10,Entregue
228,91,2023-11-11,Entregue
229,96,2024-04-26,Enviado
230,150,2024-11-28,Entregue
231,106,2023-06-04,Entregue
232,88,2024-04-13,Em processamento
233,47,2023-11-17,Entregue
234,116,2023-10-08,Cancelado
235,44,2023-04-01,Entregue
236,163,2024-03-15,Entregue
237,99,2023-01-05,Entregue
238,96,2024-06-27,Em processamento
239,2,2023-12-19,Entregue
240,99,2024-05-30,Entregue
241,17,2023-02-16,Entregue
242,117,2023-12-12,Em processamento
243,35,2024-05-16,Entregue
244,43,2024-02-18,Entregue
245,34,2023-05-07,Em processamento
246,10,2024-09-30,Entregue
247,170,2023-01-21,Entregue
248,107,2024-03-30,Enviado
249,65,2024-10-07,Entregue
250,170,2024-12-18,Entregue
251,131,2024-09-24,Entregue
252,28,2024-05-24,Entregue
253,68,2023-10-30,Enviado
254,128,2024-05-07,Entregue
255,4,2024-11-18,Entregue
256,147,2024-11-16,Entregue
257,131,2024-10-21,Entregue
258,68,2024-04-20,Entregue
259,11,2023-10-25,Em processamento
260,81,2023-02-16,Entregue
261,170,2024-10-24,Entregue
262,113,2024-09-28,Cancelado
263,24,2023-07-07,Entregue
264,117,2023-06-20,Em processamento
265,186,2023-06-13,Enviado
266,124,2023-05-14,Entregue
267,29,2024-02-26,Entregue
268,67,2024-11-01,Em processamento
269,174,2024-11-16,Entregue
270,134,2024-12-05,Entregue
271,111,2024-11-08,Entregue
272,89,2024-11-10,Entregue
273,39,2024-09-19,Em processamento
274,41,2023-11-25,Entregue
275,13,2024-06-03,Em processamento
276,97,2024-08-09,Entregue
277,115,2023-11-20,Entregue
278,168,2023-01-19,Entregue
279,10,2024-11-01,Entregue
280,94,2024-04-10,Cancelado
281,159,2024-11-03,Entregue
282,30,2023-08-16,Entregue
283,163,2024-05-19,Em processamento
284,185,2024-02-24,Enviado
285,51,2023-07-12,Entregue
286,56,2024-11-19,Cancelado
287,116,2024-05-31,Entregue
288,2,2023-06-27,Cancelado
289,33,2023-04-17,Enviado
290,156,2023-11-26,Entregue
291,108,2023-09-12,Entregue
292,76,2023-05-22,Em processamento
293,132,2023-11-03,Enviado
294,81,2023-07-25,Em processamento
295,75,2024-12-04,Em processamento
296,34,2024-12-28,Entregue
297,129,2023-11-27,Cancelado
298,91,2024-12-28,Cancelado
299,137,2024-06-19,Entregue
300,38,2023-07-24,Entregue
301,74,2024-11-30,Entregue
302,177,2023-10-30,Entregue
303,9,2024-11-22,Entregue
304,166,2024-07-28,Entregue
305,179,2024-02-01,Em processamento
306,81,2024-07-19,Cancelado
307,65,2024-10-25,Enviado
308,140,2024-09-09,Cancelado
309,50,2023-10-29,Em processamento
310,20,2024-06-10,Entregue
311,110,2023-05-14,Entregue
312,2,2023-12-05,Entregue
313,11,2024-09-03,Enviado
314,158,2024-11-08,Enviado
315,141,2024-01-02,Em processamento
316,82,2024-06-22,Entregue
317,134,2023-06-13,Entregue
318,104,2023-04-05,Entregue
319,170,2023-12-06,Entregue
320,56,2024-10-26,Em processamento
321,89,2024-04-01,Em processamento
322,158,2024-09-28,Entregue
323,175,2023-11-25,Entregue
324,99,2023-10-17,Entregue
325,96,2023-07-17,Entregue
326,25,2024-10-03,Em processamento
327,162,2023-03-15,Cancelado
328,176,2023-06-07,Em processamento
329,85,2023-02-08,Entregue
330,46,2023-09-22,Entregue
331,162,2024-02-19,Entregue
332,100,2024-11-20,Entregue
333,165,2024-09-25,Cancelado
334,150,2023-03-16,Entregue
335,28,2023-11-05,Entregue
336,113,2024-01-26,Em processamento
337,8,2024-04-30,Entregue
338,35,2024-07-12,Enviado
339,37,2023-11-02,Cancelado
340,166,2024-07-22,Entregue
341,2,2023-03-29,Cancelado
342,186,2023-12-19,Em processamento
343,132,2023-05-26,Entregue
344,158,2023-09-16,Entregue
345,172,2024-07-16,Em processamento
346,18,2023-09-14,Cancelado
347,149,2024-01-01,Em processamento
348,61,2023-04-13,Entregue
349,50,2023-11-22,Entregue
350,158,2024-11-06,Enviado
351,40,2023-11-20,Entregue
352,2,2023-11-17,Entregue
353,183,2024-10-18,Entregue
354,35,2024-11-26,Entregue
355,119,2024-04-01,Entregue
356,125,2024-07-18,Em processamento
357,156,2023-07-21,Enviado
358,20,2024-08-27,Entregue
359,142,2023-06-02,Entregue
360,151,2023-10-25,Entregue
361,131,2023-04-03,Entregue
362,3,2024-11-09,Enviado
363,176,2023-05-24,Entregue
364,145,2023-02-11,Entregue
365,60,2023-03-06,Entregue
366,11,2024-11-15,Entregue
367,100,2023-02-17,Em processamento
368,83,2024-08-06,Em processamento
369,97,2023-12-20,Entregue
370,124,2024-09-10,Entregue
371,113,2023-06-19,Entregue
372,165,2023-10-15,Entregue
373,41,2024-05-05,Enviado
374,42,2023-01-23,Entregue
375,147,2024-08-29,Enviado
376,132,2023-05-31,Entregue
377,47,2024-10-14,Cancelado
378,170,2023-08-10,Entregue
379,124,2023-06-24,Entregue
380,154,2024-06-07,Cancelado
381,176,2023-08-24,Entregue
382,28,2023-01-17,Entregue
383,176,2024-09-12,Entregue
384,158,2024-09-06,Entregue
385,129,2023-05-01,Em processamento
386,34,2024-11-25,Entregue
387,108,2024-12-15,Entregue
388,124,2024-01-26,Cancelado
389,179,2024-08-12,Entregue
390,66,2023-03-27,Entregue
391,105,2023-09-21,Em processamento
392,2,2024-06-16,Em processamento
393,53,2024-02-23,Entregue
394,110,2024-09-18,Em processamento
395,102,2023-07-28,Enviado
396,124,2023-07-03,Enviado
397,124,2024-08-14,Em processamento
398,102,2024-11-06,Entregue
399,115,2023-04-13,Entregue
400,87,2024-12-01,Entregue
401,100,2024-10-13,Entregue
402,38,2024-03-21,Entregue
403,57,2024-01-15,Entregue
404,186,2024-06-17,Enviado
405,15,2024-03-25,Em processamento
406,133,2023-10-20,Enviado
407,131,2024-09-21,Entregue
408,93,2023-06-11,Entregue
409,103,2023-12-28,Entregue
410,151,2024-12-21,Entregue
411,141,2023-12-23,Entregue
412,58,2024-08-11,Entregue
413,105,2024-06-02,Entregue
414,129,2023-10-29,Entregue
415,132,2024-08-11,Entregue
416,97,2024-05-08,Entregue
417,98,2024-12-18,Entregue
418,64,2023-10-22,Em processamento
419,88,2023-12-29,Enviado
420,69,2024-11-30,Entregue
421,128,2023-07-24,Entregue
422,68,2023-07-31,Entregue
423,159,2023-12-31,Entregue
424,31,2024-11-10,Entregue
425,139,2024-05-17,Cancelado
426,131,2023-10-14,Cancelado
427,148,2023-05-12,Entregue
428,123,2024-07-07,Entregue
429,101,2024-12-16,Entregue
430,177,2023-01-09,Entregue
431,98,2024-08-17,Entregue
432,157,2023-09-23,Entregue
433,61,2024-09-19,Entregue
434,128,2024-03-10,Em processamento
435,96,2023-10-14,Enviado
436,34,2024-01-26,Cancelado
437,39,2023-06-30,Entregue
438,162,2023-11-20,Entregue
439,65,2023-02-18,Em processamento
440,42,2023-03-03,Entregue
441,122,2024-10-06,Cancelado
442,86,2023-09-24,Enviado
443,143,2023-09-21,Entregue
444,32,2024-09-12,Enviado
445,167,2023-10-19,Em processamento
446,131,2024-10-17,Entregue
447,108,2023-03-15,Entregue
448,59,2023-11-18,Entregue
449,182,2024-02-09,Entregue
450,93,2024-04-06,Entregue
451,6,2024-11-08,Cancelado
452,180,2023-03-23,Entregue
453,27,2023-04-08,Entregue
454,141,2023-02-25,Entregue
455,135,2023-03-27,Enviado
456,40,2024-02-04,Entregue
457,73,2023-05-15,Entregue
458,8,2023-11-30,Entregue
459,139,2024-12-15,Enviado
460,153,2023-12-22,Entregue
461,23,2024-03-28,Entregue
462,67,2023-06-09,Entregue
463,134,2023-05-20,Entregue
464,137,2024-05-03,Cancelado
465,111,2023-07-13,Enviado
466,112,2024-02-09,Em processamento
467,166,2023-08-14,Entregue
468,161,2024-12-02,Em processamento
469,137,2023-10-03,Entregue
470,47,2023-05-20,Enviado
471,117,2024-09-24,Em processamento
472,160,2024-05-18,Entregue
473,39,2023-01-23,Entregue
474,73,2023-10-03,Entregue
475,3,2023-08-27,Entregue
476,127,2023-08-11,Entregue
477,128,2023-02-02,Cancelado
478,38,2023-02-27,Entregue
479,19,2023-01-13,Cancelado
480,183,2023-09-12,Entregue
481,64,2023-02-04,Cancelado
482,25,2024-11-28,Entregue
483,41,2023-11-02,Entregue
484,171,2023-11-29,Entregue
485,150,2023-05-03,Entregue
486,3,2024-12-08,Enviado
487,40,2023-09-12,Entregue
488,176,2024-09-25,Cancelado
489,161,2023-03-03,Em processamento
490,40,2024-12-19,Entregue
491,33,2024-05-14,Enviado
492,166,2024-05-11,Em processamento
493,113,2024-07-26,Em processamento
494,126,2024-07-10,Cancelado
495,120,2024-07-21,Entregue
496,40,2024-04-05,Entregue
497,139,2024-01-11,Cancelado
498,164,2024-06-02,Entregue
499,5,2024-09-27,Cancelado
500,17,2024-11-05,Entregue
501,49,2024-07-18,Entregue
502,83,2023-04-24,Em processamento
503,18,2023-05-13,Entregue
504,52,2023-04-12,Em processamento
505,100,2024-11-04,Enviado
506,180,2024-08-27,Entregue
507,57,2024-10-16,Enviado
508,107,2024-06-15,Entregue
509,26,2023-07-14,Em processamento
510,64,2024-07-25,Entregue
511,164,2024-08-13,Entregue
512,180,2024-11-12,Entregue
513,43,2024-05-31,Entregue
514,137,2024-09-06,Entregue
515,81,2023-11-29,Entregue
516,163,2023-11-28,Enviado
517,140,2023-08-08,Enviado
518,66,2024-06-14,Entregue
519,2,2023-11-04,Entregue
520,81,2023-06-08,Entregue
521,92,2023-06-09,Entregue
522,150,2023-09-13,Entregue
523,24,2024-08-07,Entregue
524,20,2023-11-29,Entregue
525,125,2024-12-07,Entregue
526,153,2024-10-19,Cancelado
527,148,2024-01-26,Entregue
528,86,2024-03-20,Entregue
529,59,2024-10-09,Entregue
530,135,2023-02-12,Enviado
531,39,2023-12-01,Entregue
532,40,2023-04-03,Entregue
533,101,2023-06-01,Entregue
534,122,2024-07-15,Entregue
535,103,2024-05-28,Em processamento
536,34,2023-05-19,Entregue
537,125,2024-06-20,Entregue
538,69,2024-03-16,Enviado
539,23,2024-03-09,Entregue
540,83,2023-12-19,Entregue
541,79,2024-03-27,Entregue
542,52,2024-12-02,Cancelado
543,22,2023-10-22,Em processamento
544,29,2023-11-09,Entregue
545,85,2023-08-05,Entregue
546,67,2024-11-15,Enviado
547,170,2024-06-23,Entregue
548,16,2023-10-18,Em processamento
549,159,2023-10-05,Em processamento
550,3,2023-03-10,Entregue
551,170,2024-11-06,Entregue
552,5,2024-10-26,Entregue
553,131,2024-12-27,Entregue
554,125,2023-07-10,Entregue
555,144,2024-12-30,Entregue
556,136,2023-11-09,Entregue
557,41,2023-01-19,Entregue
558,91,2024-10-02,Entregue
559,71,2023-10-14,Entregue
560,101,2024-11-03,Cancelado
561,98,2024-12-03,Entregue
562,147,2023-06-06,Entregue
563,155,2023-12-04,Entregue
564,53,2024-10-30,Entregue
565,176,2023-11-13,Entregue
566,35,2023-11-22,Entregue
567,185,2023-05-02,Entregue
568,8,2023-11-23,Entregue
569,106,2023-11-07,Enviado
570,71,2023-04-20,Entregue
571,157,2024-09-23,Enviado
572,157,2024-01-03,Cancelado
573,123,2023-05-18,Enviado
574,121,2024-12-30,Entregue
575,100,2024-05-18,Entregue
576,50,2023-08-20,Cancelado
577,4,2023-03-09,Entregue
578,158,2024-03-13,Entregue
579,156,2024-06-17,Entregue
580,116,2024-06-12,Cancelado
581,162,2023-02-20,Entregue
582,102,2023-11-08,Entregue
583,119,2023-06-20,Enviado
584,14,2024-12-07,Entregue
585,119,2024-10-23,Cancelado
586,129,2023-04-26,Enviado
587,179,2024-07-13,Entregue
588,83,2024-04-06,Entregue
589,152,2024-04-10,Entregue
590,178,2023-05-07,Em processamento
591,116,2024-10-11,Entregue
592,182,2023-06-13,Entregue
593,12,2023-06-03,Entregue
594,46,2024-12-30,Entregue
595,80,2024-04-01,Entregue
596,31,2023-09-17,Entregue
597,128,2023-09-01,Em processamento
598,122,2024-04-09,Entregue
599,154,2024-09-06,Enviado
600,72,2023-08-01,Entregue
601,15,2024-10-30,Entregue
602,9,2024-11-14,Enviado
603,77,2023-02-20,Entregue
604,42,2024-11-19,Em processamento
605,178,2024-12-17,Enviado
606,46,2023-11-27,Entregue
607,18,2023-03-08,Entregue
608,32,2023-12-04,Entregue
609,54,2024-12-13,Entregue
610,28,2024-12-06,Em processamento
611,74,2023-11-21,Enviado
612,160,2024-05-24,Entregue
613,157,2023-07-18,Entregue
614,120,2024-02-29,Entregue
615,90,2023-08-06,Entregue
616,177,2023-10-16,Entregue
617,79,2023-11-04,Entregue
618,2,2023-12-16,Enviado
619,158,2023-07-18,Entregue
620,173,2024-05-08,Entregue
621,138,2023-12-10,Entregue
622,15,2024-06-17,Cancelado
623,174,2023-11-20,Entregue
624,54,2023-12-29,Entregue
625,72,2023-02-01,Entregue
626,161,2023-11-12,Entregue
627,182,2023-02-02,Entregue
628,128,2023-09-01,Entregue
629,56,2024-06-21,Entregue
630,96,2023-04-05,Entregue
631,124,2024-05-27,Entregue
632,124,2024-06-20,Entregue
633,37,2023-05-16,Entregue
634,118,2024-06-18,Entregue
635,12,2023-03-31,Entregue
636,27,2023-11-16,Cancelado
637,80,2023-11-25,Entregue
638,71,2024-06-29,Entregue
639,172,2023-05-01,Entregue
640,71,2023-04-28,Enviado
641,144,2024-06-10,Entregue
642,90,2024-07-16,Entregue
643,181,2023-06-25,Enviado
644,87,2024-07-07,Entregue
645,8,2023-02-21,Entregue
646,23,2024-03-12,Em processamento
647,153,2024-12-07,Enviado
648,92,2023-11-16,Entregue
649,183,2024-11-17,Entregue
650,120,2024-08-04,Em processamento
651,120,2024-12-01,Cancelado
652,120,2024-04-26,Entregue
653,37,2024-09-23,Entregue
654,101,2024-11-12,Entregue
655,117,2024-05-14,Entregue
656,29,2023-12-26,Entregue
657,73,2023-12-23,Entregue
658,131,2023-04-16,Em processamento
659,28,2023-11-30,Entregue
660,78,2024-08-27,Enviado
661,63,2024-07-15,Entregue
662,99,2023-03-09,Em processamento
663,152,2023-12-17,Entregue
664,45,2024-11-09,Cancelado
665,183,2024-04-19,Entregue
666,114,2023-06-30,Entregue
667,18,2024-09-04,Enviado
668,98,2023-12-02,Em processamento
669,16,2023-04-03,Entregue
670,149,2024-04-02,Em processamento
671,82,2023-11-03,Em processamento
672,78,2024-08-19,Entregue
673,104,2023-03-05,Enviado
674,14,2024-01-03,Entregue
675,8,2023-08-29,Enviado
676,101,2024-10-02,Entregue
677,104,2024-01-26,Entregue
678,170,2023-06-07,Em processamento
679,33,2023-05-18,Em processamento
680,5,2023-05-20,Em processamento
681,107,2024-12-13,Entregue
682,160,2023-07-04,Entregue
683,142,2024-04-05,Entregue
684,48,2023-10-03,Entregue
685,148,2024-01-11,Entregue
686,146,2024-12-08,Cancelado
687,135,2024-09-16,Entregue
688,162,2024-11-10,Entregue
689,176,2024-08-16,Entregue
690,88,2024-04-25,Entregue
691,147,2023-12-06,Entregue
692,75,2023-06-21,Enviado
693,78,2024-07-31,Enviado
694,122,2024-08-15,Entregue
695,169,2024-10-01,Entregue
696,22,2023-05-10,Entregue
697,65,2024-09-10,Enviado
698,39,2024-11-05,Entregue
699,67,2024-12-18,Entregue
700,136,2023-02-03,Entregue
701,38,2024-10-14,Enviado
702,89,2023-04-29,Entregue
703,103,2024-05-02,Cancelado
704,137,2023-08-28,Em processamento
705,100,2024-04-30,Entregue
706,112,2023-01-13,Entregue
707,98,2024-11-25,Entregue
708,175,2023-02-12,Entregue
709,164,2023-12-10,Entregue
710,66,2024-11-01,Entregue
711,173,2024-06-16,Em processamento
712,47,2023-11-17,Em processamento
713,3,2023-03-11,Entregue
714,135,2023-12-26,Entregue
715,65,2023-07-17,Enviado
716,24,2024-11-03,Entregue
717,154,2024-10-15,Entregue
718,23,2024-09-11,Em processamento
719,166,2024-12-13,Entregue
720,120,2024-11-07,Enviado
721,117,2023-11-28,Cancelado
722,19,2024-01-27,Entregue
723,67,2023-09-29,Entregue
724,126,2023-04-22,Cancelado
725,111,2023-09-23,Entregue
726,19,2024-04-01,Entregue
727,39,2023-09-30,Entregue
728,101,2024-08-11,Em processamento
729,126,2024-05-04,Cancelado
730,18,2024-07-07,Entregue
731,177,2024-05-08,Entregue
732,92,2023-12-08,Entregue
733,15,2024-10-24,Entregue
734,88,2023-11-03,Entregue
735,162,2024-12-06,Entregue
736,162,2023-05-24,Entregue
737,185,2024-08-30,Entregue
738,17,2024-05-26,Entregue
739,5,2023-02-07,Entregue
740,185,2023-02-13,Entregue
741,168,2024-11-14,Em processamento
742,138,2024-09-25,Entregue
743,63,2024-12-19,Entregue
744,45,2024-10-09,Entregue
745,25,2024-08-28,Entregue
746,30,2024-09-22,Entregue
747,110,2024-11-25,Entregue
748,176,2023-11-26,Entregue
749,12,2024-08-30,Entregue
750,31,2023-10-08,Entregue
751,44,2024-12-14,Entregue
752,113,2023-02-11,Enviado
753,157,2023-03-24,Entregue
754,23,2024-12-24,Entregue
755,107,2023-07-31,Entregue
756,134,2024-04-06,Entregue
757,157,2024-12-09,Entregue
758,184,2023-11-05,Entregue
759,143,2023-08-30,Entregue
760,25,2024-09-25,Cancelado
761,139,2024-06-03,Cancelado
762,161,2024-11-06,Entregue
763,50,2023-02-14,Entregue
764,73,2023-08-03,Entregue
765,158,2024-04-09,Cancelado
766,14,2024-07-04,Entregue
767,125,2024-06-11,Entregue
768,185,2023-11-30,Cancelado
769,174,2023-11-30,Entregue
770,84,2023-08-22,Cancelado
771,106,2023-07-24,Entregue
772,19,2023-05-29,Enviado
773,117,2023-07-02,Entregue
774,118,2023-10-04,Entregue
775,9,2024-12-09,Entregue
776,35,2024-04-14,Cancelado
777,88,2024-09-10,Enviado
778,157,2023-03-30,Entregue
779,126,2024-04-18,Cancelado
780,110,2023-09-10,Entregue
781,149,2024-05-31,Entregue
782,109,2024-06-27,Em processamento
783,26,2023-05-16,Entregue
784,166,2023-04-03,Em processamento
785,79,2024-12-21,Entregue
786,161,2023-03-14,Em processamento
787,86,2024-06-27,Entregue
788,70,2023-02-26,Entregue
789,173,2023-04-24,Entregue
790,159,2023-02-11,Entregue
791,166,2023-07-29,Entregue
792,62,2024-07-06,Entregue
793,149,2024-12-20,Cancelado
794,58,2023-11-25,Entregue
795,129,2024-11-27,Entregue
796,17,2024-01-17,Entregue
797,129,2024-11-25,Entregue
798,116,2024-09-27,Em processamento
799,178,2023-03-09,Entregue
800,23,2023-03-24,Entregue
801,74,2023-03-20,Entregue
802,29,2024-12-14,Entregue
803,53,2023-01-24,Em processamento
804,139,2023-05-16,Entregue
805,114,2024-10-22,Entregue
806,17,2024-11-02,Entregue
807,125,2024-08-03,Entregue
808,44,2023-09-24,Entregue
809,74,2023-02-18,Entregue
810,117,2023-10-20,Entregue
811,182,2023-06-07,Entregue
812,11,2023-11-21,Entregue
813,67,2024-01-14,Enviado
814,182,2023-12-19,Entregue
815,139,2023-11-24,Cancelado
816,140,2024-06-03,Em processamento
817,76,2024-03-28,Entregue
818,123,2023-02-11,Enviado
819,30,2023-11-12,Enviado
820,57,2024-04-01,Entregue
821,15,2023-10-12,Entregue
822,138,2024-02-08,Entregue
823,155,2024-01-05,Em processamento
824,110,2024-01-14,Entregue
825,73,2023-12-20,Entregue
826,144,2023-03-31,Entregue
827,107,2024-03-29,Cancelado
828,109,2024-02-29,Enviado
829,154,2023-03-30,Entregue
830,122,2023-04-01,Enviado
831,70,2024-02-29,Entregue
832,182,2023-05-21,Entregue
833,75,2023-11-06,Entregue
834,127,2023-08-18,Entregue
835,40,2023-09-26,Enviado
836,163,2024-04-28,Em processamento
837,74,2024-03-03,Em processamento
838,166,2023-09-08,Cancelado
839,71,2024-08-02,Entregue
840,161,2024-12-03,Em processamento
841,31,2024-08-12,Entregue
842,42,2024-08-18,Entregue
843,119,2024-12-10,Entregue
844,14,2023-10-07,Enviado
845,92,2023-02-19,Entregue
846,164,2024-10-05,Entregue
847,154,2023-11-20,Em processamento
848,78,2024-12-05,Entregue
849,149,2023-01-14,Entregue
850,96,2024-05-11,Entregue
851,27,2023-08-12,Entregue
852,49,2024-12-30,Cancelado
853,30,2023-03-20,Entregue
854,5,2024-05-06,Em processamento
855,93,2023-12-17,Entregue
856,8,2023-05-02,Em processamento
857,37,2024-12-05,Entregue
858,54,2023-04-25,Cancelado
859,124,2024-03-17,Entregue
860,9,2024-11-06,Entregue
